marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	44928701	R1ORWPFQ9EDYA0	B000HZZT7W	967346376	LCR Dice Game (Red Chips)	Toys	5	0	0	N	Y	Five Stars	We play this game quite a bit with friends.	2015-08-31
US	43173394	R1YIX4SO32U0GT	B002G54DAA	57447684	BCW - Deluxe Currency Slab - Regular Bill - Dollar / Currency Collecting Supplies	Toys	5	0	1	N	Y	BCW - Deluxe Currency Slab	Fits my $20 bill perfectly.	2015-08-31
US	11210951	R1W3QQZ8JKECCI	B003JT0L4Y	876626440	Ocean Life Stamps Birthday Party Supplies Loot Bag Accessories 24 Pieces per Unit	Toys	5	0	0	N	Y	Fun for birthday party favor	I ordered these for my 3 year old son's birthday party as party favors. They were a huge hit & the perfect fit for a 3 year old!	2015-08-31
US	12918717	RZX17JIYIPAR	B00KQUNNZ8	644368246	New Age Scare Halloween Party Pumpkin and Bat Hanging Round Lantern Decoration, Paper, 9" Pack of 3	Toys	5	0	0	N	N	Love the prints!	These paper lanterns are adorable! The colors are bright, the patterns are fun & trendy & they're a good size! They came well packaged & are easy to assemble, they're also really easy to take apart & flatten back down! We'll get to use them for a few Halloweens I'm sure! They even came with the string needed to hang! I'm glad I grabbed them, they're really cute, my kids are excited to add to the Halloween decor & are already asking to hang them!<br />I received this item at a discount for my unbiased review.	2015-08-31
US	47781982	RIDVQ4P3WJR42	B00WTGGGRO	162262449	Pokemon - Double Dragon Energy (97/108) - XY Roaring Skies	Toys	5	1	1	N	Y	Five Stars	My Grandson loves these cards.  Thank you	2015-08-31
US	34874898	R1WQ3ME3JAG2O1	B00WAKEQLW	824555589	Whiffer Sniffers Mystery Pack 1 Scented Backpack Clip	Toys	1	0	6	N	Y	One Star	Received a pineapple rather than the advertised s'more	2015-08-31
US	20962528	RNTPOUDQIICBF	B00M5AT30G	548190970	AmiGami Fox and Owl Figure 2-Pack	Toys	4	0	0	N	Y	Four Stars	Christmas gift for 6yr	2015-08-31
US	47781982	R3AHZWWOL0IAV0	B00GNDY40U	438056479	Pokemon - Gyarados (31/113) - Legendary Treasures	Toys	5	0	0	N	Y	Five Stars	My Grandson loves these cards.  Thank you	2015-08-31
US	13328687	R3PDXKS9O2Z20B	B00WJ1OPMW	120071056	LeapFrog LeapTV Letter Factory Adventures Educational, Active Video Game	Toys	5	0	0	N	N	they LOVE this game	Even though both of my kids are at the top of this age recommendation level, they LOVE this game!  I love how it caters to the kinesthetic learner by asking them to move their bodies into the shape of the letters.  It even takes teamwork as sometimes two people are required to finish the letter.  My kids know all of their letter sounds and shapes, but this didn't stop them from playing the game over and over.	2015-08-31
US	16245463	R23URALWA7IHWL	B00IGXV9UI	765869385	Disney Planes: Fire & Rescue Scoop & Spray Firefighter Dusty	Toys	5	0	0	N	Y	Five Stars	My 5 year old son loves this.	2015-08-31
US	11916403	R36L8VKT9ZSUY6	B00JVY9J1M	771795950	Winston Zeddmore & Ecto-1: Funko POP! Rides x Ghostbusters Vinyl Figure	Toys	5	0	0	N	Y	Five Stars	love it	2015-08-31
US	5543658	R23JRQR6VMY4TV	B008AL15M8	211944547	Yu-Gi-Oh! - Solemn Judgment (GLD5-EN045) - Gold Series: Haunted Mine - Limited Edition - Ghost/Gold Hybrid Rare	Toys	5	0	0	N	Y	Absolutely one of the best traps in the game	Absolutely one of the best traps in the game. It is never a dead and always live since you can always pay half your lifepoints for its cost. It's main power is that it can stop any card. Hopefully this card comes off the Forbidden/Limited list soon.	2015-08-31
US	41168357	R3T73PQZZ9F6GT	B00CAEEDC0	72805974	Seat Pets Car Seat Toy	Toys	5	0	0	N	Y	Five Stars	really soft and cute	2015-08-31
US	32866903	R300I65NW30Y19	B000TFLAZA	149264874	Baby Einstein Octoplush	Toys	5	0	0	N	Y	Five Stars	baby loved it - so attractive and very nice	2015-08-31
